date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-25,1.2731,1.2731,-0.0005,场内买入,场内卖出,
2025-12-24,1.2737,1.2737,0.0038,场内买入,场内卖出,
2025-12-23,1.2689,1.2689,-0.0015,场内买入,场内卖出,
2025-12-22,1.2708,1.2708,0.0024,场内买入,场内卖出,
2025-12-19,1.2678,1.2678,0.0088,场内买入,场内卖出,
2025-12-18,1.2568,1.2568,0.0,场内买入,场内卖出,
2025-12-17,1.2568,1.2568,0.0116999999999999,场内买入,场内卖出,
2025-12-16,1.2423,1.2423,-0.0116,场内买入,场内卖出,
2025-12-15,1.2569,1.2569,-0.0025,场内买入,场内卖出,
2025-12-12,1.2601,1.2601,0.0103,场内买入,场内卖出,
2025-12-11,1.2472,1.2472,-0.0078,场内买入,场内卖出,
2025-12-10,1.257,1.257,0.0043,场内买入,场内卖出,
2025-12-09,1.2516,1.2516,-0.0187,场内买入,场内卖出,
2025-12-08,1.2754,1.2754,-0.0033,场内买入,场内卖出,
2025-12-05,1.2796,1.2796,0.0139,场内买入,场内卖出,
2025-12-04,1.262,1.262,0.001,场内买入,场内卖出,
2025-12-03,1.2608,1.2608,0.0045,场内买入,场内卖出,
2025-12-02,1.2552,1.2552,-0.0017,场内买入,场内卖出,
2025-12-01,1.2573,1.2573,0.0155,场内买入,场内卖出,
2025-11-28,1.2381,1.2381,0.0059,场内买入,场内卖出,
2025-11-27,1.2308,1.2308,0.0002,场内买入,场内卖出,
2025-11-26,1.2306,1.2306,0.0008,场内买入,场内卖出,
2025-11-25,1.2296,1.2296,0.0085,场内买入,场内卖出,
2025-11-24,1.2192,1.2192,-0.0021,场内买入,场内卖出,
2025-11-21,1.2218,1.2218,-0.0246,场内买入,场内卖出,
2025-11-20,1.2526,1.2526,-0.0076,场内买入,场内卖出,
2025-11-19,1.2622,1.2622,0.0049,场内买入,场内卖出,
2025-11-18,1.2561,1.2561,-0.0178,场内买入,场内卖出,
2025-11-17,1.2789,1.2789,-0.0093999999999999,场内买入,场内卖出,
2025-11-14,1.291,1.291,-0.01,场内买入,场内卖出,
2025-11-13,1.304,1.304,0.0087,场内买入,场内卖出,
2025-11-12,1.2927,1.2927,0.0022,场内买入,场内卖出,
2025-11-11,1.2898,1.2898,-0.005,场内买入,场内卖出,
2025-11-10,1.2963,1.2963,0.011,场内买入,场内卖出,
2025-11-07,1.2822,1.2822,0.0034,场内买入,场内卖出,
2025-11-06,1.2778,1.2778,0.0231,场内买入,场内卖出,
2025-11-05,1.2489,1.2489,0.0034999999999999,场内买入,场内卖出,
2025-11-04,1.2445,1.2445,-0.0093999999999999,场内买入,场内卖出,
2025-11-03,1.2563,1.2563,0.01,场内买入,场内卖出,
2025-10-31,1.2439,1.2439,-0.0065,场内买入,场内卖出,
2025-10-30,1.2521,1.2521,-0.0012,场内买入,场内卖出,
2025-10-29,1.2536,1.2536,0.0118,场内买入,场内卖出,
2025-10-28,1.239,1.239,-0.0086,场内买入,场内卖出,
2025-10-27,1.2498,1.2498,0.0108,场内买入,场内卖出,
2025-10-24,1.2365,1.2365,0.005,场内买入,场内卖出,
2025-10-23,1.2303,1.2303,0.0089,场内买入,场内卖出,
2025-10-22,1.2194,1.2194,0.0015,场内买入,场内卖出,
2025-10-21,1.2176,1.2176,0.0089,场内买入,场内卖出,
2025-10-20,1.2069,1.2069,0.0058,场内买入,场内卖出,
2025-10-17,1.1999,1.1999,-0.0179,场内买入,场内卖出,
2025-10-16,1.2218,1.2218,-0.0059,场内买入,场内卖出,
2025-10-15,1.2291,1.2291,0.01,场内买入,场内卖出,
2025-10-14,1.2169,1.2169,-0.0029,场内买入,场内卖出,
2025-10-13,1.2205,1.2205,-0.0064,场内买入,场内卖出,
2025-10-10,1.2283,1.2283,-0.0017,场内买入,场内卖出,
2025-10-09,1.2304,1.2304,0.0281,场内买入,场内卖出,
2025-09-30,1.1968,1.1968,0.0083,场内买入,场内卖出,
2025-09-29,1.1869,1.1869,0.0104,场内买入,场内卖出,
2025-09-26,1.1747,1.1747,-0.0011,场内买入,场内卖出,
2025-09-25,1.176,1.176,0.0024,场内买入,场内卖出,
2025-09-24,1.1732,1.1732,0.0001,场内买入,场内卖出,
2025-09-23,1.1731,1.1731,-0.0026,场内买入,场内卖出,
2025-09-22,1.1761,1.1761,-0.008,场内买入,场内卖出,
2025-09-19,1.1856,1.1856,0.0016,场内买入,场内卖出,
2025-09-18,1.1837,1.1837,-0.0155,场内买入,场内卖出,
2025-09-17,1.2023,1.2023,0.0111,场内买入,场内卖出,
2025-09-16,1.1891,1.1891,-0.0004,场内买入,场内卖出,
2025-09-15,1.1896,1.1896,0.0004,场内买入,场内卖出,
2025-09-12,1.1891,1.1891,0.0025,场内买入,场内卖出,
